Timestamp start: 1747241808651
Random waveform, random seed
Total number of intervals = 96 (122635, 82746, 106244, 57271, 14450, 110250, 7663, 137998, 152289, 56207, 149809, 28872, 113034, 64320, 170396, 43849, 11298, 156875, 129235, 50243, 15118, 141253, 74905, 103597, 12721, 93538, 178698, 99613, 75295, 9164, 177479, 94367, 106166, 137980, 21753, 175518, 30864, 166639, 81086, 29961, 53853, 137971, 52788, 94480, 83744, 70392, 29391, 86678, 45490, 105447, 129370, 40392, 7201, 82199, 13397, 84434, 121388, 121876, 95006, 7641, 120479, 72582, 79773, 9727, 175493, 139078, 97364, 79125, 155913, 65966, 17402, 18802, 94330, 19244, 12666, 46768, 66448, 63788, 162581, 135736, 111176, 157667, 144721, 83382, 114510, 20870, 35971, 82552, 172120, 139272, 33514, 92396, 56394, 143943, 137155, 159972)
Average QPS expected = 87223
Timestamp start: 1747241810158
Timestamp end: 1747242770397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      224.4   118.2    63.8   111.8   123.6   200.2   249.5   278.9   300.0   323.8   354.2   398.0   491.1  1003.4  3492.7 121750.7   121876
read      222.3   107.7    59.1   107.4   117.7   196.9   255.1   286.8   307.9   330.9   359.4   399.7   486.0   726.7  2753.1  94962.1    95006
read      189.3    78.6    68.9   109.5   124.0   188.6   206.1   215.6   222.5   230.5   240.5   255.6   294.5   543.5  3148.3   7700.9     7641
read      216.7   103.5    59.1   108.9   119.7   192.7   241.4   270.9   292.1   315.8   344.5   387.7   470.1   878.7  2706.0 120414.0   120479
read      221.7   104.4    59.1   106.0   116.1   204.4   263.3   289.8   307.1   325.7   347.5   382.3   451.1   588.2  2221.9  72483.4    72582
read      217.9   108.4    59.1   104.6   114.6   197.1   256.3   283.8   301.6   320.5   344.1   379.0   452.3   646.8  3286.3  79698.6    79773
read      184.2    93.5    63.8   105.9   123.1   181.9   198.5   208.5   215.7   224.8   235.0   253.0   295.4   708.8  3424.2   9772.3     9727
read      247.9   139.0    63.8   127.2   143.3   230.6   272.1   295.7   313.4   334.7   362.7   404.6   519.1  1581.7  4773.9 175627.6   175493
read      211.2   102.3    59.1   108.1   119.1   189.3   233.0   260.5   280.2   303.0   331.0   371.6   460.5   881.9  2012.9 138973.5   139078
read      212.1   105.5    54.7   103.4   113.0   187.8   243.4   273.8   293.9   315.5   341.1   378.8   458.0   635.7  2750.9  97392.1    97364
read      214.4   103.3    59.1   103.1   112.6   194.5   252.8   280.0   297.5   316.4   339.2   372.4   443.8   602.8  2967.1  79156.6    79125
read      218.7   108.1    59.1   112.8   125.9   199.5   240.4   265.6   283.9   305.5   332.9   373.6   465.8  1163.5  2794.1 155871.5   155913
read      215.7    99.3    54.7   104.5   114.5   202.9   257.1   280.2   294.9   311.2   330.7   360.2   422.7   558.6  2367.1  65932.5    65966
read      202.6    85.5    63.8   113.7   130.0   201.1   223.8   235.0   243.8   253.0   266.0   284.7   326.4   710.8  3537.9  17323.9    17402
read      206.5    69.1    63.8   113.1   128.9   206.5   230.4   242.8   251.4   261.8   273.5   293.5   339.0   656.1  2128.3  18754.6    18802
read      221.2   115.5    59.1   104.0   113.9   193.4   253.2   284.7   305.8   329.3   359.3   404.6   528.5   905.2  3044.7  94179.8    94330
read      206.7    86.8    59.1   113.0   128.3   207.0   231.2   243.6   252.0   262.5   274.0   293.7   337.8   525.2  3410.5  19241.4    19244
read      198.7    80.9    63.8   114.1   131.3   197.4   217.9   228.7   235.5   245.4   256.0   273.8   315.4   544.0  3103.5  12686.1    12666
read      217.3    96.0    50.7   108.0   119.3   214.5   255.6   273.2   285.5   298.2   315.3   340.9   400.6   647.3  3140.9  46762.1    46768
read      214.2   102.4    59.1   103.5   113.4   200.1   255.1   278.7   293.7   310.5   330.4   360.7   426.2   545.6  2343.9  66542.7    66448
read      221.8   104.9    59.1   106.3   116.8   210.3   263.9   286.8   301.7   317.6   338.0   368.7   436.7   788.0  2411.2  63575.8    63788
read      239.1   138.1    63.8   121.2   136.5   219.3   262.1   286.8   304.9   326.4   355.2   399.6   515.0  1624.3  4261.8 162575.4   162581
read      221.5   132.8    59.1   109.7   121.0   195.3   241.0   269.0   289.2   312.5   341.2   386.6   561.6  1550.9  3477.5 135814.7   135736
read      208.6    93.9    59.1   104.6   114.5   186.5   237.4   267.5   286.9   307.5   331.0   364.8   433.7   597.9  2274.5 111138.7   111176
read      219.5    95.8    59.1   115.3   128.6   202.3   242.9   267.8   286.0   307.3   333.7   371.9   453.8   671.5  2528.0 157774.2   157667
read      213.7    98.0    59.1   111.0   122.6   194.5   236.9   263.8   282.8   304.7   331.1   369.4   448.8   641.0  2185.1 144612.3   144721
read      215.3    97.7    59.1   105.5   115.4   198.3   255.3   280.9   296.7   313.6   333.8   364.0   428.4   578.8  2215.2  83418.6    83382
read      217.7   101.1    59.1   110.4   121.3   195.7   246.7   276.4   296.3   317.9   342.8   378.6   452.7   640.5  1891.9 114723.2   114510
read      223.6    81.2    63.8   122.5   137.4   228.2   252.7   264.8   272.5   282.6   294.2   313.7   352.6   537.1  2591.8  20873.5    20870
read      232.2    95.5    59.1   118.1   131.0   239.7   271.5   286.1   295.3   307.3   319.9   342.2   391.1   525.5  3227.9  36141.2    35971
read      220.7    99.5    59.1   107.7   117.7   203.1   262.7   288.7   305.0   321.6   342.3   373.3   437.2   569.1  3048.3  82666.3    82552
read      264.7   104.4    68.9   139.1   156.8   251.1   294.5   319.0   337.6   359.8   388.4   431.7   532.4   826.9  2379.7 172086.6   172120
read      222.8   102.5    63.8   115.8   128.7   202.7   248.1   275.2   294.9   317.1   343.6   383.3   463.2   683.8  2195.7 139296.2   139272
