Timestamp start: 1747334859512
Random waveform, supplied seed
Total number of intervals = 192 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136)
Average QPS expected = 88139
Timestamp start: 1747334861017
Timestamp end: 1747335821277

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.9   127.6    63.8   112.5   124.9   193.3   230.3   253.0   270.0   290.3   316.1   358.3   477.0  1895.3  3592.4 165210.2   165153
read      196.8    98.2    63.8   101.7   111.0   175.3   217.4   243.6   262.8   284.5   310.6   346.7   429.9   788.1  2803.9 124149.0   123975
read      208.2   100.5    59.1   102.0   113.1   205.9   237.0   253.9   265.8   278.7   295.2   320.5   383.8   671.8  2694.7  28462.2    28449
read      193.7    66.3    59.1   105.1   119.3   192.5   214.4   226.5   234.5   245.7   259.1   280.0   332.3   523.3  1825.4  14866.6    14903
read      214.1    84.1    63.8   102.7   113.5   212.1   246.4   264.4   276.2   291.1   309.3   336.6   401.1   694.7  1937.5  31316.0    31189
read      221.4   112.7    63.8   102.2   112.8   215.4   254.6   274.8   289.5   306.0   326.2   358.6   433.2  1906.6  3003.0  40720.6    40636
read      225.4   139.4    63.8    98.2   107.4   200.8   258.4   290.5   312.6   337.6   368.1   414.0   526.0  1827.7  3191.3  80833.2    80574
read      228.2   150.8    63.8   116.3   130.0   203.7   242.5   265.9   283.2   304.4   332.9   381.2   579.4  2008.0  3475.1 168630.2   168820
read      210.0   123.1    63.8   111.7   123.6   191.0   227.3   249.6   266.5   286.3   311.6   349.8   452.2  1488.1  3900.1 162621.6   162621
read      201.5    99.0    68.9   101.5   110.6   179.7   228.1   255.7   274.3   294.9   319.3   356.0   433.2   684.1  3041.1 101522.0   101621
read      222.9   124.8    68.9    99.9   109.5   209.6   256.8   281.7   299.1   319.4   345.3   385.8   480.1  1728.3  2914.3  58643.0    58592
read      217.6   153.9    68.9   110.2   121.7   191.1   230.0   253.9   272.0   293.5   320.4   367.2   622.5  2080.4  4416.7 153133.4   153042
read      203.5   136.0    63.8   102.7   112.0   177.9   223.5   251.9   272.1   294.5   320.5   359.9   448.2  1267.5  5833.2 112043.4   112238
read      207.2   119.9    68.9   109.6   120.6   186.4   223.5   246.2   263.4   283.7   309.7   348.1   458.9  1521.9  3408.8 160138.0   160265
read      223.2   132.8    63.8    99.5   109.1   208.5   255.6   281.3   298.8   318.8   344.3   383.8   486.5  1949.0  3082.0  57049.4    57109
read      213.4   118.5    63.8    98.6   107.7   188.7   243.7   273.5   294.0   316.5   344.2   388.0   495.2  1423.8  2602.6  88477.6    88551
read      179.6    81.2    59.1    99.3   113.5   177.4   194.6   204.3   212.2   220.9   232.7   252.2   304.4  1028.7  2031.5   8351.4     8385
read      211.1    80.2    59.1   101.6   112.2   208.6   244.1   262.8   275.0   290.0   308.4   336.1   396.5   538.2  1333.5  34156.2    34088
read      202.8   142.2    63.8   100.5   109.7   176.2   221.1   248.6   268.4   290.5   316.9   357.1   482.2  1911.3  4343.2 113627.6   113600
read      195.7    89.8    63.8   102.5   111.9   174.8   214.9   240.0   259.0   280.5   306.9   343.7   424.6   834.7  2015.2 131722.6   131842
read      200.1   103.9    63.8   101.6   110.9   177.2   222.5   250.0   269.8   291.7   317.2   354.9   439.8   841.5  2709.6 112174.4   112066
read      217.8   115.9    59.1    98.3   107.4   199.1   251.8   279.8   299.2   320.9   348.2   390.7   485.8  1383.8  2667.0  72372.2    72585
read      210.8   186.2    59.1   104.2   114.4   181.3   221.7   246.6   265.3   287.1   314.5   356.5   566.0  3010.9  5322.8 134057.2   133669
read      187.2    90.5    59.1   103.7   118.6   184.2   203.3   214.4   222.2   231.5   244.3   264.7   315.0  1077.9  2977.4  11940.6    11820
read      190.4   106.1    59.1   105.4   120.2   187.6   208.1   218.8   227.4   236.0   250.2   270.5   315.6   817.5  5413.8  12612.2    12639
read      202.1   111.0    63.8   101.2   110.5   177.0   221.3   248.8   268.6   291.2   318.9   363.0   500.1  1217.5  3191.9 118462.0   118548
read      208.2   103.3    63.8   112.2   124.5   190.9   226.3   248.0   264.6   284.3   309.6   346.9   437.6  1143.4  2700.0 165538.6   165754
read      208.1   121.5    63.8   101.3   110.5   186.5   237.6   264.3   281.7   301.2   325.0   363.2   460.8  1095.6  4612.6  86866.8    86823
read      199.5    91.0    54.7   109.6   124.2   196.3   218.6   231.1   240.1   251.6   267.2   291.4   359.6   798.1  2689.5  16795.0    16898
read      198.9    89.8    63.8   102.3   111.9   178.0   220.6   246.8   265.9   287.6   314.4   354.8   434.2   677.0  1992.6 123100.6   123124
read      210.1   108.4    63.8   100.7   110.3   194.3   243.5   268.4   285.2   303.9   326.8   361.2   431.6  1000.9  2889.7  72227.2    72278
read      213.3    85.1    63.8   101.4   111.8   207.6   250.4   271.7   286.4   302.5   321.3   350.8   408.7   504.0  1388.3  47813.0    47757
read      212.2   107.0    63.8    99.9   110.2   202.3   248.5   271.4   287.2   304.9   326.8   359.7   424.8   533.2  3760.6  60538.8    60510
read      203.2    70.8    63.8   107.5   120.2   202.4   228.9   242.9   252.9   265.5   280.8   304.8   358.4   463.7  2083.1  25431.6    25237
read      202.4    91.9    54.7   100.4   109.9   181.9   230.9   258.0   276.1   296.3   320.6   358.3   434.1   633.2  1922.2  97748.4    97783
read      198.6    86.1    63.8   102.6   112.2   178.3   221.8   248.8   268.0   289.1   313.9   348.1   421.3   639.9  1900.1 118877.2   118966
read      202.0   107.7    59.1   113.1   128.0   197.5   218.3   230.2   238.4   249.6   264.6   289.6   358.4  1313.2  4877.6  16618.0    16631
read      195.4    95.4    63.8   112.6   129.1   193.3   212.2   222.8   230.7   240.2   253.0   273.8   334.3   618.9  3272.6  11687.0    11743
read      212.0   131.1    59.1   104.7   115.0   187.3   233.0   261.4   281.6   305.1   334.0   375.5   490.0  1266.1  2876.5 114884.6   115026
read      208.6   104.1    68.9   105.9   116.4   187.5   230.7   256.8   275.7   298.2   326.3   367.3   454.9   936.9  3059.0 122589.4   122371
read      189.7    80.2    59.1   106.1   121.9   186.6   203.7   214.1   221.7   231.4   244.9   268.0   342.1  1083.8  1946.8   7193.6     7198
read      219.3    99.3    74.4   114.3   127.5   216.7   243.8   259.0   269.7   282.8   299.0   327.0   396.4  1306.4  2961.3  25108.4    25022
read      227.5   131.4    68.9   117.9   131.6   206.5   246.1   270.3   288.3   309.6   337.5   382.2   516.1  1861.5  3624.3 157298.0   157513
read      242.2   102.7    63.8   126.1   141.8   225.2   267.3   291.9   310.7   333.3   363.0   408.9   509.3   913.1  2525.0 172014.8   171975
read      218.8   114.1    68.9   114.5   127.9   199.7   238.0   261.9   279.0   299.5   326.5   368.4   469.5  1268.4  3326.5 154822.6   154918
read      206.2    93.7    68.9   108.2   118.9   186.7   226.4   250.9   269.1   290.7   317.3   357.6   441.0   911.0  2252.5 139012.8   139185
read      224.2   132.7    63.8   115.8   129.3   203.4   243.0   267.3   285.2   306.7   334.6   378.4   507.9  1537.7  4510.6 152882.2   152724
read      210.4    67.8    74.4   116.3   131.0   210.1   232.2   244.9   253.5   265.2   279.3   303.8   364.1   557.2  1481.6  20839.0    20845
read      212.2   124.3    68.9   109.1   120.3   189.7   229.5   254.2   272.6   294.3   321.5   364.7   477.1  1667.8  3227.6 140084.2   140348
